,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,airport
21007,727033,14609,INTERNATIONAL AIRPORT,US,ME,KHUL,46.119,-67.793,145.1,20000101,20181019,True
21086,727450,14913,DULUTH INTERNATIONAL AIRPORT,US,MN,KDLH,46.836999999999996,-92.18299999999999,436.8,19480101,20181019,True
21109,727470,14918,FALLS INTERNATIONAL AIRPORT,US,MN,KINL,48.56100000000001,-93.398,360.6,19730101,20181019,True
21139,727508,54915,PINE RIVER REGIONAL AIRPORT,US,MN,KPWC,46.725,-94.382,394.7,20060101,20181019,True
21148,727530,14914,HECTOR INTERNATIONAL AIRPORT,US,ND,KFAR,46.925,-96.811,274.3,19480101,20181019,True
21152,727535,14919,JAMESTOWN REGIONAL AIRPORT,US,ND,KJMS,46.926,-98.669,455.4,19730101,20181019,True
21164,727570,14916,GRAND FORKS INTERNATIONAL AIRPORT,US,ND,KGFK,47.943000000000005,-97.184,256.6,20100801,20181019,True
21180,727670,94014,SLOULIN FIELD INTERNATIONAL AIRPORT,US,ND,KISN,48.174,-103.637,579.7,19730101,20181019,True
21196,727720,24144,HELENA REGIONAL AIRPORT,US,MT,KHLN,46.606,-111.964,1166.8,19730101,20181019,True
21198,727730,24153,MISSOULA INTERNATIONAL AIRPORT,US,MT,KMSO,46.92100000000001,-114.09299999999999,972.9,19730101,20181019,True
21202,727750,24143,GREAT FALLS INTERNATIONAL AIRPORT,US,MT,KGTF,47.473,-111.382,1116.8,19730101,20181019,True
21207,727790,24146,GLACIER PARK INTERNATIONAL AIRPORT,US,MT,KGPI,48.303999999999995,-114.264,901.3,19730101,20181019,True
